,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
1,777823111113,1 Water 355ml,Customer Square 3,Oak Hill,ACTIVE,Non Alcoholic Beverage,1.0,,,
2,777823111113,1 Water 355ml,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,5.0,,,
6,7503013136221,123 Organic Anejo Tequila 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,1.0,,,
9,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,1.0,,,
44,080660001166,1792 Sweet Wheat 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,1.0,,,
71,859612001031,21st Amendment Brew Free IPA Cans 6pk,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,,,
74,859612001130,21st Amendment Hell or High Watermelon 12-pack,Customer Square 1,Airport,ACTIVE,Craft Beer,2.0,,,
102,852674006198,512 Cascabel Cream Stout 4pk Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,2.0,,,
119,852674006362,512 Nut Brown 6pk Bottles,Customer Square 2,Pleasant Valley,DEPRECATED,Craft Beer,8.0,,,
139,5060093991710,6 O'clock Sloe Gin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,2.0,,,
141,876718036903,6 Pack Bike Carrier,Customer Square 2,Pleasant Valley,ACTIVE,Bag,3.0,,,
147,80660010861,99 Apple Whiskey 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,3.0,,,
162,088004045432,99 Mystery Flavor 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,,,
179,080480006167,Aberfeldy 16y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,2.0,,,
180,080480006167,Aberfeldy 16y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
181,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,1.0,,,
183,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
185,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,1.0,,,
188,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,1.0,,,
189,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
191,080480220013,Aberfeldy 21y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
